sheet,chain,co_owned,state,southj,centralj,northj,pa1,pa2,shore,bonus,pctaff,period,ncalls,empft,emppt,nmgrs,wage_st,inctime,firstin,meals,open,hrsopen,psoda,pfry,pentree,nregs,nregs11,type,status,date,special
1,1,0,1,0,1,0,0,0,0,0,80,1,0,16,30,4,4.5,,.25,"both",7,16,.93000001,.82999998,.85000002,4,3,1,1,110592,0
1,1,0,1,0,1,0,0,0,0,0,80,2,,20,40,4,5.0500002,,,"reduced",7,16,1.05,.79000002,.89999998,4,3,,,,
2,1,0,1,0,1,0,0,0,0,1,80,1,0,10,6,3,4.75,26,.5,"free",7,14,1.0599999,.91000003,.95999998,2,2,1,1,110592,1
2,1,0,1,0,1,0,0,0,0,1,80,2,,7.5,10,3,5.25,19,.38,"free",7,15,1.05,1.01,.94,2,2,,,,
3,2,0,1,0,1,0,0,0,0,1,50,1,3,6,13,3,4.25,13,.25,"reduced",11,10,1.0599999,.94999999,3.0899999,5,3,1,1,111792,0
3,2,0,1,0,1,0,0,0,0,1,50,2,2,4,7,3,5.0500002,26,.25,"free",11,11,1.05,.94,2.75,5,3,,,,
4,3,0,1,0,1,0,0,0,0,0,50,1,0,10,12,3,4.75,4,.25,"reduced",9,12.5,1.0599999,1,2.1300001,8,4,1,1,110592,0
4,3,0,1,0,1,0,0,0,0,0,50,2,,5,30,4,5.0500002,26,.28,"reduced",8,13.5,1.22,1.37,.88999999,6,4,,,,
5,3,0,1,0,1,0,0,0,0,0,,1,0,5,30,4,4.5,13,.17,"free",6,17,.94999999,,2.1300001,5,4,1,1,111892,0
5,3,0,1,0,1,0,0,0,0,0,,2,2,10,30,4,5.1500001,4,.18000001,"reduced",6,17,1.05,.94,.94,5,5,,,,
6,3,1,1,0,1,0,0,0,0,0,100,1,2,2,2,2,5,13,.25,"free",11,7,1.2,1.17,2.3499999,4,2,1,1,111792,0
6,3,1,1,0,1,0,0,0,0,0,100,2,1,5,2,2,5.0500002,13,.15000001,"free",10,8,1.11,1.01,2.23,4,2,,,,
8,4,0,1,0,1,0,0,0,0,0,,1,0,,25,4,4.8000002,,.15000001,"free",10.5,12,1.02,.91000003,2.28,2,1,1,1,110592,0
8,4,0,1,0,1,0,0,0,0,0,,2,,15,25,3,5.0500002,26,.33000001,"reduced",10,13,1.01,1.01,.94,2,2,,,,
9,1,0,1,0,1,0,0,0,0,0,35,1,2,12,40,4,4.3699999,26,.15000001,"reduced",7,16,1.04,.67000002,.85000002,4,4,1,1,110592,0
9,1,0,1,0,1,0,0,0,0,0,35,2,,0,32,4,5.0500002,26,.13,"reduced",7,16,1.11,.92000002,1.01,4,3,,,,
10,1,0,1,0,1,0,0,0,0,0,80,1,0,15,20,4,4.25,39,.17,"reduced",7,16,1.04,.85000002,.85000002,3,3,1,1,110592,0
10,1,0,1,0,1,0,0,0,0,0,80,2,,15,15,4,5.0500002,4,.28,"reduced",7,16,.94,.87,.94,3,2,,,,
11,1,0,1,0,1,0,0,0,0,0,80,1,2,10,30,4,4.25,26,.1,"reduced",7,16,1.09,.88999999,.91000003,3,3,1,1,111792,0
11,1,0,1,0,1,0,0,0,0,0,80,2,1,12,24,3,5.0500002,,,"reduced",7,16,1.05,.87,.94,3,2,,,,
12,1,0,1,0,1,0,0,0,0,0,100,1,0,6.5,23.5,3,4.3699999,9,.1,"reduced",7,16,1.05,.79000002,.91000003,3,3,1,1,111892,0
12,1,0,1,0,1,0,0,0,0,0,100,2,3,15,15,4,5.0500002,26,.25,"both",7,16,1.01,.92000002,.94,3,2,,,,
13,2,0,1,0,1,0,0,0,0,0,100,1,0,0,25,3,4.5,7,.25,"reduced",11,10,1.0599999,.94999999,2.6600001,5,4,1,1,111792,0
13,2,0,1,0,1,0,0,0,0,0,100,2,1,2,11,3,5,13,.25,"free",11,11,1.01,.94,2.75,4,3,,,,
14,2,0,1,0,1,0,0,0,0,0,0,1,0,10,8,2,5.1199999,6,.25,"both",11,11,1.0599999,.85000002,2.49,6,5,1,1,110592,1
14,2,0,1,0,1,0,0,0,0,0,0,2,,4,17,3,5.0500002,13,.25,"reduced",11,11,1.05,.94,2.5999999,6,3,,,,
15,3,0,1,0,1,0,0,0,0,1,95,1,3,3,25,4,4.5999999,9,.15000001,"reduced",6,17,1.02,.98000002,.94999999,5,4,2,1,121092,0
15,3,0,1,0,1,0,0,0,0,1,95,2,5,5,20,3,5.0500002,,.25,"reduced",6,17,1.05,1.01,2,3,3,,,,
16,3,0,1,0,1,0,0,0,0,0,50,1,0,6,22,4,4.5,13,.25,"reduced",6,17,1,1,,5,5,1,1,110592,0
16,3,0,1,0,1,0,0,0,0,0,50,2,,7,17,3,5.0500002,19,.25,"reduced",6,17,1.05,1.01,.94,5,5,,,,
17,3,0,1,0,1,0,0,0,0,0,60,1,0,0,20,4,4.3699999,13,.25,"reduced",6,17,1.0599999,1,2.02,6,5,1,1,111692,0
17,3,0,1,0,1,0,0,0,0,0,60,2,1,4,35,4,5.0500002,13,.2,"reduced",6,17,1.05,.94,.94999999,6,5,,,,
18,3,0,1,0,1,0,0,0,0,0,50,1,2,15,25,3,4.25,13,,"reduced",6,17,,,,4,4,1,1,110592,1
18,3,0,1,0,1,0,0,0,0,0,50,2,,8,38,5,5.0500002,,.25,"reduced",6,17,1.05,1,.63,7,7,,,,
19,1,0,1,1,0,0,0,0,0,0,50,1,3,4,31,4,4.25,4,.25,"reduced",6,16,1.05,.91000003,.93000001,3,3,1,1,110592,0
19,1,0,1,1,0,0,0,0,0,0,50,2,,6,44,5,5.0500002,52,.30000001,"reduced",6,16,1.04,.93000001,.94999999,2,2,,,,
21,2,0,1,1,0,0,0,0,0,0,90,1,0,5,12,3,4.4499998,6,.1,"reduced",10.5,10.5,1.0599999,.80000001,2.1300001,3,3,1,1,111492,0
21,2,0,1,1,0,0,0,0,0,0,90,2,1,0,11,2,5.0500002,,,"reduced",11,10,.94,.94,2.4300001,3,3,,,,
22,3,0,1,1,0,0,0,0,0,0,90,1,2,3,15,4,4.3499999,26,.12,"reduced",7,16,1.0599999,.83999997,.94999999,4,1,1,1,110592,0
22,3,0,1,1,0,0,0,0,0,0,90,2,,3,15,2,5.0500002,19,.13,"reduced",7,15,1.05,1.05,.94,4,4,,,,
23,1,0,1,0,0,1,0,0,0,0,75,1,2,0,25,3,4.5,26,.12,"reduced",7,16,1.0599999,.94999999,.94999999,3,2,1,1,111792,0
23,1,0,1,0,0,1,0,0,0,0,75,2,1,14,14,3,5.0500002,,,"free",6.5,16.5,1.05,.94,.94,3,2,,,,
24,1,0,1,0,1,0,0,0,0,1,40,1,2,15,15,4,4.75,13,.25,"reduced",7,16,1.0599999,.94999999,1.01,4,3,2,1,122192,0
24,1,0,1,0,1,0,0,0,0,1,40,2,3,15,20,4,5.0500002,52,.15000001,"reduced",,,1.05,.94,1,4,3,,,,
26,1,0,1,0,0,1,0,0,0,1,,1,3,30,15,4,5.5599999,6,,"reduced",7,16,1.0599999,.91000003,.98000002,4,2,1,1,111792,0
26,1,0,1,0,0,1,0,0,0,1,,2,2,10,20,4,5.0500002,,,"reduced",7,16,1.01,.94,.94,5,4,,,,
27,2,1,1,0,1,0,0,0,0,0,0,1,2,4,10,4,5,,.37,"free",11,10,1.0599999,.85000002,2.3399999,4,3,1,1,111292,0
27,2,1,1,0,1,0,0,0,0,0,0,2,,0,7,4,5.0500002,26,.25,"free",11,10,1.05,.83999997,2.53,4,3,,,,
28,2,0,1,0,0,1,0,0,0,0,10,1,6,0,14,1,4.5,,.25,"reduced",11,10,1.0599999,1.17,2.5599999,2,1,1,1,111892,0
28,2,0,1,0,0,1,0,0,0,0,10,2,3,6,2,3,,,,"free",11,10,,1.05,2.6400001,3,2,,,,
29,2,0,1,0,0,1,0,0,0,0,,1,3,0,7,2,4.5,4,.25,"reduced",11,11,1.0599999,1.01,2.5599999,3,2,1,1,111292,0
29,2,0,1,0,0,1,0,0,0,0,,2,,0,13,3,5.0500002,26,.25,"free",11,11,1.05,1.05,2.6400001,3,3,,,,
30,2,0,1,0,0,1,0,0,0,0,0,1,4,6,4,2,5,13,.37,"free",11,10,1.0599999,1.0599999,2.53,2,2,1,1,111292,1
30,2,0,1,0,0,1,0,0,0,0,0,2,,4,3,2,5.0500002,19,.25,"free",11,10,.94,.92000002,2.6900001,2,2,,,,
31,2,0,1,0,1,0,0,0,0,0,0,1,2,4,16,3,5.25,13,.15000001,"reduced",11,11,1.03,1.0599999,2.5599999,4,3,1,1,111492,0
31,2,0,1,0,1,0,0,0,0,0,0,2,3,6,15,5,5.0500002,26,.25,"free",10.5,12.5,1,1.05,2.6400001,4,4,,,,
32,3,0,1,0,0,1,0,0,0,0,40,1,0,10,20.5,3,4.5,26,.25,"reduced",10.5,11.5,1.12,1.02,1.0599999,4,3,1,1,111792,0
32,3,0,1,0,0,1,0,0,0,0,40,2,1,2,25,3,5.0500002,26,.23,"reduced",10.5,11.5,1.22,1.11,2.28,4,4,,,,
33,3,0,1,0,0,1,0,0,0,0,7,1,0,12,20,4,5,26,.25,"reduced",6,17,1.02,1.0700001,.94999999,5,4,1,1,111392,0
33,3,0,1,0,0,1,0,0,0,0,7,2,,6,11,5,5.0500002,,.2,"reduced",6,17,1.11,1.0599999,1.05,4,2,,,,
34,3,1,1,0,0,1,0,0,0,0,75,1,0,5,15,3,4.9499998,26,,"reduced",10.5,11.5,1.12,1.02,1.0599999,5,3,1,1,111392,0
34,3,1,1,0,0,1,0,0,0,0,75,2,,11,7,3,5.0500002,26,.5,"reduced",10.5,11.5,1.22,1.11,.73000002,5,2,,,,
35,4,0,1,0,0,1,0,0,0,1,,1,2,25,6.5,4,4.5,9,.25,"reduced",10.5,11.5,.95999998,.94999999,2.1300001,2,2,1,1,111992,0
35,4,0,1,0,0,1,0,0,0,1,,2,6,13,18,3,5.0500002,13,.25,"reduced",10.5,11.5,1.03,,,2,2,,,,
36,4,0,1,0,1,0,0,0,0,1,0,1,0,8,12,4,5.5,30,.17,"reduced",10.5,13,1.02,.91000003,2.5699999,2,2,1,1,111492,1
36,4,0,1,0,1,0,0,0,0,1,0,2,,10,35,6,5.0500002,26,.15000001,"reduced",10.5,12.5,.94999999,.88999999,1.1900001,2,2,,,,
37,1,0,2,0,0,0,1,0,0,0,33,1,2,21,9,7,4.25,4,.25,"reduced",6.5,16.5,.98000002,.83999997,.83999997,5,3,1,1,111092,0
37,1,0,2,0,0,0,1,0,0,0,33,2,,6,25,7,4.25,52,.18000001,"reduced",6.5,16.5,.98000002,.83999997,.86000001,6,3,,,,
38,1,0,1,0,1,0,0,0,0,0,100,1,0,15,20,5,4.25,17,.15000001,"reduced",6,17,1.05,.94999999,.98000002,3,2,1,1,111092,0
38,1,0,1,0,1,0,0,0,0,0,100,2,,10,20,6,5.0500002,,.25,"both",6.5,17.5,.98000002,.81999999,.75999999,3,2,,,,
39,1,0,2,0,0,0,1,0,0,0,100,1,0,1,32,2,4.25,8,,"reduced",6.5,17.5,1.03,.73000002,.51999998,4,2,1,1,111792,0
39,1,0,2,0,0,0,1,0,0,0,100,2,,5,15,3,,,,"reduced",6.5,16.5,1.05,,.63,4,2,,,,
40,1,0,2,0,0,0,1,0,0,0,100,1,0,10,20,7,4.25,4,.15000001,"reduced",6.5,16.5,.98000002,.81999999,.80000001,3,3,1,1,111092,0
40,1,0,2,0,0,0,1,0,0,0,100,2,,7,25,6,4.25,8,.13,"reduced",6.5,17.5,.98000002,.81999999,.87,3,2,,,,
41,1,0,2,0,0,0,1,0,0,0,100,1,0,0,27,6,4.25,18,.2,"reduced",6.5,16.5,.98000002,.81999999,.85000002,3,3,1,1,111892,0
41,1,0,2,0,0,0,1,0,0,0,100,2,2,0,42,6,4.25,,,"reduced",6.5,17.5,.94,.77999997,.91000003,3,2,,,,
42,1,0,2,0,0,0,1,0,0,0,100,1,2,17,4,5,4.5,,,"reduced",6.5,16.5,.98000002,.82999998,.86000001,3,3,1,1,111792,0
42,1,0,2,0,0,0,1,0,0,0,100,2,1,0,22,5,4.25,26,.25,"reduced",6.5,16.5,.94,,,3,2,,,,
45,1,0,2,0,0,0,1,0,0,0,25,1,0,0,24,6,4.25,2,.25,"reduced",7,16,.98000002,.82999998,.86000001,3,3,1,1,111092,0
45,1,0,2,0,0,0,1,0,0,0,25,2,,11,12,2,4.25,26,.15000001,"both",6.5,17.5,.98000002,.75,.86000001,3,3,,,,
46,1,0,2,0,0,0,1,0,0,1,,1,0,30,15,3,,19,,"reduced",6.5,16.5,1.03,1.03,.51999998,3,3,1,1,111792,1
46,1,0,2,0,0,0,1,0,0,1,,2,1,3.5,35,3,4.3000002,26,.079999998,"reduced",6.5,16.5,1.03,,.94,4,4,,,,
47,1,0,2,0,0,0,1,0,0,0,75,1,2,25,15,,4.5,4,.17,"reduced",6,17,1.05,.86000001,.86000001,3,3,1,1,111092,0
47,1,0,2,0,0,0,1,0,0,0,75,2,,0,45,2,4.25,,,"reduced",6,18,1.05,.86000001,.86000001,3,,,,,
48,1,0,2,0,0,0,1,0,0,1,31,1,0,6,20,3,4.25,13,.2,"both",7,14,1.01,.83999997,.63,4,3,1,1,111092,1
48,1,0,2,0,0,0,1,0,0,1,31,2,,7.5,25,5,4.3800001,13,.25,"both",7,14,.98000002,.79000002,.87,4,3,,,,
49,2,0,2,0,0,0,1,0,0,0,,1,0,6.5,6.5,4,,26,,"reduced",10,13,1.01,.89999998,2.3499999,4,3,1,1,111292,0
49,2,0,2,0,0,0,1,0,0,0,,2,,0,15,4,4.4499998,13,.050000001,"reduced",10,13,1.01,.88999999,2.3499999,4,4,,,,
50,2,0,2,0,0,0,1,0,0,0,20,1,0,6,10,3,4.5,13,,"reduced",10,12,1.01,.88999999,3.5,4,3,1,1,111292,0
50,2,0,2,0,0,0,1,0,0,0,20,2,,4,20,3,4.75,13,.1,"reduced",10,13,1.01,.88999999,2.3499999,4,3,,,,
51,2,0,2,0,0,0,1,0,0,0,100,1,1,0,15,3,4.25,,.15000001,"reduced",10,13,1.01,.88999999,2.3499999,4,3,1,1,111792,0
51,2,0,2,0,0,0,1,0,0,0,100,2,2,6,15,3,4.25,,,"reduced",10,13,1,.88999999,2.3499999,5,3,,,,
56,4,1,2,0,0,0,1,0,0,1,0,1,0,20,20,4,5,26,.1,"reduced",10,12,.87,.81999999,1.79,2,2,1,1,111492,0
56,4,1,2,0,0,0,1,0,0,1,0,2,,0,36,2,5.25,26,.15000001,"reduced",10,12,.92000002,.79000002,.87,2,2,,,,
57,4,1,2,0,0,0,1,0,0,1,70,1,0,30,10,3,4.6700001,26,.07,"reduced",10,12,.87,.79000002,.89999998,2,2,1,1,111492,1
57,4,1,2,0,0,0,1,0,0,1,70,2,1,7,18,4,4.5,26,.13,"reduced",10,12,1.01,.77999997,.89999998,2,2,,,,
58,4,1,2,0,0,0,1,0,0,0,80,1,2,8,25,3,4.75,26,.15000001,"reduced",10,12,.87,.76999998,1.01,2,2,1,1,111492,1
58,4,1,2,0,0,0,1,0,0,0,80,2,2,0,28,4,4.5,26,.079999998,"reduced",10,12,1.04,.83999997,.94,2,2,,,,
59,4,0,2,0,0,0,1,0,0,0,90,1,3,0,15,3,4.25,26,.1,"free",7.5,10.5,.91000003,.88999999,.81,2,2,1,1,111492,0
59,4,0,2,0,0,0,1,0,0,0,90,2,1,0,16,4,4.25,26,.1,"free",7.5,10.5,1.01,.83999997,.86000001,2,2,,,,
60,4,0,2,0,0,0,1,0,0,0,75,1,0,10,20,5,4.25,4,.1,"free",10.5,11.5,.94,.74000001,.86000001,2,2,1,1,111792,0
60,4,0,2,0,0,0,1,0,0,0,75,2,2,10,20,5,4.25,4,.25,"free",10,12,.98000002,.83999997,.86000001,2,2,,,,
61,4,1,2,0,0,0,1,0,0,1,0,1,0,6,26,5,5.5,52,.15000001,"both",10,12,.87,.76999998,1.65,2,2,1,1,111492,0
61,4,1,2,0,0,0,1,0,0,1,0,2,,28,3,6,4.75,13,.15000001,"reduced",10,12,1.01,.83999997,.94999999,2,2,,,,
62,4,1,2,0,0,0,1,0,0,0,45,1,2,0,31,5,5,26,.07,"reduced",10,12,.87,.76999998,.94999999,2,2,1,1,111492,0
62,4,1,2,0,0,0,1,0,0,0,45,2,,,,,,26,,"reduced",10,12,,.83999997,1.79,3,3,,,,
63,1,1,1,0,0,1,0,0,0,0,75,1,1,26,6,,4.25,26,,"reduced",6,18,1.1,.97000003,1.17,4,3,1,1,111792,0
63,1,1,1,0,0,1,0,0,0,0,75,2,1,15,10,4,5.0500002,26,.1,"reduced",7,18,1.11,1.01,1.09,4,3,,,,
64,1,0,1,0,0,1,0,0,0,0,60,1,1,20,15,3,4.5,26,.2,"both",7,16,1.0599999,.94999999,.94999999,3,2,1,1,111092,0
64,1,0,1,0,0,1,0,0,0,0,60,2,,13,13,3,5.0500002,26,.25,"reduced",7,16,1.05,.94999999,.94999999,3,3,,,,
65,1,0,1,0,0,1,0,0,0,0,90,1,5,0,20,4,4.8000002,52,.25,"reduced",6.5,15.5,1.0599999,.85000002,1.11,3,3,2,2,121592,
65,1,0,1,0,0,1,0,0,0,0,90,2,3,,,3,5.0500002,,,,,,,,,,,,,,
66,1,0,1,0,0,1,0,0,0,0,20,1,0,15,18,3,4.25,26,.15000001,"reduced",7,17,1.0599999,.94999999,.94999999,3,2,1,1,111092,1
66,1,0,1,0,0,1,0,0,0,0,20,2,,26,10,4,5.0500002,26,.25,"free",7,17,1.05,.94999999,.94999999,3,3,,,,
67,1,0,1,0,0,1,0,0,0,0,55,1,0,5,15,6,4.5,13,.25,"free",8,13.5,1.17,1.0599999,1.17,3,2,1,1,111092,0
67,1,0,1,0,0,1,0,0,0,0,55,2,,4,17.5,5,5.0500002,,,"free",8,13.5,1.3200001,1.05,1.22,3,3,,,,
68,1,0,1,0,0,1,0,0,0,0,,1,1,30,10,3,4.25,14,.050000001,"both",7,17,1.0700001,1.02,1.02,3,3,1,1,111092,0
68,1,0,1,0,0,1,0,0,0,0,,2,,13,17,3,5.0500002,13,.28,"both",7,17,1.05,.94999999,.94999999,3,1,,,,
69,1,0,1,0,0,1,0,0,0,0,100,1,0,0,27,3,4.25,13,.22,"reduced",7,18,1.17,.94999999,.94999999,4,2,1,1,111792,0
69,1,0,1,0,0,1,0,0,0,0,100,2,,0,27,3,5.0500002,13,.2,"reduced",7,18,1.26,1.01,1,4,2,,,,
70,1,0,1,0,0,1,0,0,0,0,50,1,0,35,20,5,4.5,13,.27000001,"free",7,16,1.0599999,.94999999,1.02,3,3,1,1,111092,
70,1,0,1,0,0,1,0,0,0,0,50,2,,10,30,5,5.0500002,4,.23,"free",7,16,1.05,.94999999,1.01,3,3,,,,
71,1,0,1,0,0,1,0,0,0,0,100,1,1,0,35,3,4.75,13,.25,"both",7,17,1.0599999,.94999999,.94999999,3,2,1,1,111692,1
71,1,0,1,0,0,1,0,0,0,0,100,2,,29,14,3,5.0500002,26,.18000001,"both",7,17,1.05,.94999999,.94999999,3,2,,,,
73,2,0,1,0,0,1,0,0,0,0,40,1,1,0,7,3,4.25,,.75,"both",11,12,1.0599999,1.0599999,2.45,3,2,1,1,111792,0
73,2,0,1,0,0,1,0,0,0,0,40,2,2,14,0,3,5.0500002,4,.050000001,"reduced",11,11,1.05,1.05,2.4300001,3,,,,,
75,2,0,1,0,0,1,0,0,0,0,0,1,0,3,15,3,4.25,4,.25,"reduced",11,11,1.17,1.27,2.77,3,3,1,1,111292,1
75,2,0,1,0,0,1,0,0,0,0,0,2,,4,11,3,5.0500002,6,.25,"reduced",11,11,1.16,1.16,2.75,3,3,,,,
76,3,1,1,0,0,1,0,0,0,0,50,1,0,8,32,4,4.25,26,.2,"reduced",6,17,1.12,1.02,1.02,6,3,1,1,111392,1
76,3,1,1,0,0,1,0,0,0,0,50,2,,25,15,6,5.0500002,13,.15000001,"reduced",6.5,16.5,1.11,1.0599999,1.05,6,3,,,,
77,3,0,1,0,0,1,0,0,0,0,100,1,0,6,50,4,5,4,.15000001,"reduced",6,19,1.1799999,1.0700001,1.17,6,5,1,1,111992,0
77,3,0,1,0,0,1,0,0,0,0,100,2,4,4,60,3,5.0500002,52,.15000001,"reduced",6,19,1.0599999,1.0599999,1.05,6,2,,,,
78,3,1,1,0,0,1,0,0,0,0,0,1,0,13,10,3,5,26,.15000001,"reduced",6,17,1.12,1.02,1.02,4,2,1,1,111392,0
78,3,1,1,0,0,1,0,0,0,0,0,2,,10,12,2,5.0500002,26,.1,"reduced",7,16,1.11,1.01,1.05,5,3,,,,
79,3,1,1,0,0,1,0,0,0,0,30,1,4,6,25,3,4.5,26,.15000001,"reduced",6,17,1.17,1.02,1.0599999,5,4,1,1,111392,0
79,3,1,1,0,0,1,0,0,0,0,30,2,,8,18,3,5.0500002,41,.13,"reduced",7,16,1.11,1.0599999,1.05,5,4,,,,
80,4,0,1,0,0,1,0,0,0,0,90,1,1,4.5,20,,4.25,26,.25,"reduced",10.5,11.5,1.0599999,.98000002,1.0599999,2,2,1,1,111492,0
80,4,0,1,0,0,1,0,0,0,0,90,2,2,11,14,3,5.0500002,13,.1,"reduced",10.5,12.5,1.12,.98000002,.99000001,2,1,,,,
81,4,0,1,0,0,1,0,0,0,0,95,1,4,25,13,3,5,26,.1,"reduced",10,12,1.0599999,.98000002,1.0599999,2,2,2,1,121592,1
81,4,0,1,0,0,1,0,0,0,0,95,2,3,0,45,4,5.0500002,,,"reduced",10.5,11.5,1.11,.98000002,2.0699999,2,1,,,,
82,4,0,1,0,0,1,0,0,0,1,0,1,6,8,14.5,3,5,13,.37,"reduced",10.5,13.5,1.0599999,1.03,1.0599999,2,2,1,1,111492,1
82,4,0,1,0,0,1,0,0,0,1,0,2,,25,8,4,5.0500002,13,.18000001,"reduced",10.5,13.5,1.11,.98000002,1.05,2,2,,,,
83,4,0,1,0,0,1,0,0,0,0,11,1,2,12.5,20,2,5,13,.25,"reduced",10.5,13.5,1.0599999,.98000002,2.1300001,2,2,1,1,111792,0
83,4,0,1,0,0,1,0,0,0,0,11,2,2,,,4,5.0500002,26,.5,"reduced",10,14,1.11,.88999999,.99000001,2,2,,,,
84,1,0,1,0,1,0,0,0,0,0,50,1,3,4,30,5,4.5,26,.15000001,"reduced",7,16,1.04,.85000002,.91000003,4,2,1,1,111692,0
84,1,0,1,0,1,0,0,0,0,0,50,2,,12,30,5,5.0500002,52,.2,"reduced",7,16,1.05,.89999998,.94,3,3,,,,
85,1,0,1,0,1,0,0,0,1,0,1,1,3,7,20,3,5.5,26,.51999998,"free",9,12.5,1.12,1.02,1.02,5,4,1,1,111692,0
85,1,0,1,0,1,0,0,0,1,0,1,2,,0,35,3,5.0500002,26,.18000001,"free",9,12.5,1.11,1.01,1.05,5,1,,,,
86,1,0,1,0,1,0,0,0,0,0,,1,1,11,11,4,4.25,13,.25,"both",7,15,1.0599999,.94,1.1,3,3,1,1,111092,0
86,1,0,1,0,1,0,0,0,0,0,,2,,9,12,4,5.0500002,4,.13,"both",7,15,1.05,1.05,1.04,3,3,,,,
87,1,0,1,0,1,0,0,0,1,0,,1,0,0,15,,4.5,26,,"reduced",7,15,1.0599999,.86000001,1.02,3,3,1,1,111092,0
87,1,0,1,0,1,0,0,0,1,0,,2,,0,30,5,5.0500002,41,.18000001,"both",7,15,1,.99000001,1.04,3,3,,,,
88,1,0,1,1,0,0,0,0,0,1,75,1,0,3,35,3,4.25,,,"both",7,15,1.0599999,.87,.91000003,5,5,2,1,121892,0
88,1,0,1,1,0,0,0,0,0,1,75,2,2,4,37,4,5.0500002,42,.18000001,"reduced",7,15,1.05,.87,.94,5,2,,,,
89,1,1,1,0,1,0,0,0,0,0,0,1,2,10,6,3,5,13,.17,"reduced",7,16,1.09,.94999999,1.04,3,2,1,1,111092,0
89,1,1,1,0,1,0,0,0,0,0,0,2,,6,25,6,5.5,4,.63,"reduced",7,16,1.11,1.01,1.05,3,3,,,,
91,1,1,1,0,1,0,0,0,1,0,100,1,2,8,22,4,4.25,8,.15000001,"reduced",7,17,1.09,.93000001,1.04,3,3,1,1,111792,0
91,1,1,1,0,1,0,0,0,1,0,100,2,1,0,30,4,5.0500002,26,.18000001,"free",7,17,1.11,1.05,1.05,3,3,,,,
92,1,1,1,0,1,0,0,0,1,0,100,1,0,4,18,4,4.25,13,.75,"reduced",7,15,1.09,.94999999,1.03,3,3,1,1,111092,0
92,1,1,1,0,1,0,0,0,1,0,100,2,,14,6,3,5.0500002,,.25,"reduced",7,15,1.11,1.01,1.05,3,3,,,,
93,1,1,1,0,0,1,0,0,0,0,90,1,0,2.5,30,3,4.25,52,.15000001,"reduced",7,16,,,.95999998,,,1,1,111092,0
93,1,1,1,0,0,1,0,0,0,0,90,2,,5,25,5,5.0500002,13,.15000001,"reduced",7,16,1.11,1.05,1.05,4,3,,,,
94,2,0,1,0,1,0,0,0,0,0,0,1,2,0,25,5,5,26,.25,"both",11,10,1.0599999,.80000001,2.5599999,,,1,1,111292,0
94,2,0,1,0,1,0,0,0,0,0,0,2,,2,20,4,5.0500002,52,.25,"free",11,10,1.05,.79000002,2.53,3,,,,,
